页签,序号,项目名称,分类,上游地址,entity_type,reason,source,expanded_from_org,stars,description,language,llm_note
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,repo,脚本分类: github.com/hpcaitech/ColossalAI,repo,,,,,
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,repo,脚本分类: github.com/Vchitect/VBench,repo,,,,,
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,repo,脚本分类: github.com/vllm-project/llm-compressor,repo,,,,,
昇腾,86,LightX2V,推理加速,https://github.com/ModelTC/LightX2V,repo,脚本分类: github.com/ModelTC/LightX2V,repo,,,,,
昇腾,87,xDiT,推理加速,https://github.com/xdit-project/xDiT,repo,脚本分类: github.com/xdit-project/xDiT,repo,,,,,
昇腾,91,TileLang,算子库和编程,https://github.com/tile-ai/tilelang,repo,脚本分类: github.com/tile-ai/tilelang,repo,,,,,
鲲鹏,1,Glibc,基础库&加速库,https://github.com/bminor/glibc,repo,脚本分类: github.com/bminor/glibc,repo,,,,,
鲲鹏,2,Hyperscan,基础库&加速库,https://github.com/est31/cargo-udeps,repo,脚本分类: github.com/est31/cargo-udeps,repo,,,,,
鲲鹏,4,Zlib,基础库&加速库,https://github.com/madler/zlib,repo,脚本分类: github.com/madler/zlib,repo,,,,,
鲲鹏,5,LZ4,基础库&加速库,https://github.com/lz4/lz4,repo,脚本分类: github.com/lz4/lz4,repo,,,,,
鲲鹏,6,zlib-ng,基础库&加速库,https://github.com/zlib-ng/zlib-ng,repo,脚本分类: github.com/zlib-ng/zlib-ng,repo,,,,,
鲲鹏,7,edk2,基础库&加速库,https://github.com/tianocore/edk2,repo,脚本分类: github.com/tianocore/edk2,repo,,,,,
鲲鹏,8,Suricata,基础库&加速库,https://github.com/OISF/suricata.git,repo,脚本分类: github.com/OISF/suricata.git,repo,,,,,
鲲鹏,9,Snort,基础库&加速库,https://github.com/snort3/snort3,repo,脚本分类: github.com/snort3/snort3,repo,,,,,
鲲鹏,10,nDPI,基础库&加速库,https://github.com/ntop/nDPI,repo,脚本分类: github.com/ntop/nDPI,repo,,,,,
鲲鹏,11,Gzip,基础库&加速库,https://github.com/distrotech/gzip,repo,脚本分类: github.com/distrotech/gzip,repo,,,,,
鲲鹏,12,Zstd,基础库&加速库,https://github.com/facebook/zstd,repo,脚本分类: github.com/facebook/zstd,repo,,,,,
鲲鹏,13,Snappy,基础库&加速库,https://github.com/google/snappy,repo,脚本分类: github.com/google/snappy,repo,,,,,
鲲鹏,14,X265,基础库&加速库,https://github.com/videolan/x265,repo,脚本分类: github.com/videolan/x265,repo,,,,,
鲲鹏,15,DPDK,基础库&加速库,https://github.com/dpdk/dpdk,repo,脚本分类: github.com/dpdk/dpdk,repo,,,,,
鲲鹏,16,X264,基础库&加速库,https://code.videolan.org/videolan/x264,repo,脚本分类: code.videolan.org/videolan/x264,repo,,,,,
鲲鹏,17,SPDK,基础库&加速库,https://github.com/spdk/spdk,repo,脚本分类: github.com/spdk/spdk,repo,,,,,
鲲鹏,18,Bcache,基础库&加速库,https://github.com/g2p/bcache-tools,repo,脚本分类: github.com/g2p/bcache-tools,repo,,,,,
鲲鹏,19,OpenBLAS,基础库&加速库,https://github.com/xianyi/openblas,repo,脚本分类: github.com/xianyi/openblas,repo,,,,,
鲲鹏,20,lapack,基础库&加速库,https://github.com/reference-lapack/lapack,repo,脚本分类: github.com/reference-lapack/lapack,repo,,,,,
鲲鹏,21,Numpy,基础库&加速库,https://github.com/numpy/numpy,repo,脚本分类: github.com/numpy/numpy,repo,,,,,
鲲鹏,22,ISA-L,基础库&加速库,https://github.com/intel/isa-l,repo,脚本分类: github.com/intel/isa-l,repo,,,,,
鲲鹏,23,EMU,ARM应用支持,https://github.com/treangenlab/emu,repo,脚本分类: github.com/treangenlab/emu,repo,,,,,
鲲鹏,24,Mesa,ARM应用支持,https://github.com/mesa3d/mesa,repo,脚本分类: github.com/mesa3d/mesa,repo,,,,,
鲲鹏,25,Binder,ARM应用支持,https://github.com/kupferlauncher/keybinder,repo,脚本分类: github.com/kupferlauncher/keybinder,repo,,,,,
鲲鹏,26,LLVM,ARM应用支持,"https://llvm.org/
https://github.com/llvm/llvm-project",repo,脚本分类: github.com/llvm/llvm-project,repo,,,,,
鲲鹏,27,libdrm,ARM应用支持,https://gitlab.freedesktop.org/mesa/drm,repo,脚本分类: gitlab.freedesktop.org/mesa/drm,repo,,,,,
