页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,31,vLLM社区,推理加速,https://github.com/vllm-project,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,32,SGLang社区,推理加速,https://github.com/sgl-project,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,valid,repo,,5315,1431,69,671,2889,Go,Apache-2.0,2019-03-27T21:14:14Z,2026-04-10T05:17:11Z,2026-04-09T14:56:51Z,470869,master,"artificial-intelligence,cncf,genai,hacktoberfest,istio,k8s,knative,kserve,kubeflow,kubernetes,llm-inference,machine-learning,mlops,model-interpretability,model-serving,pytorch,service-mesh,tensorflow,vllm,xgboost",False,False,,True,
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,valid,repo,,47,21,4,0,1,Go,Apache-2.0,2022-11-11T17:05:56Z,2026-04-01T03:34:32Z,2026-04-09T22:02:08Z,2448,master,,False,False,,False,
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,valid,repo,,42056,7421,478,3585,39586,Python,Apache-2.0,2016-10-25T19:38:30Z,2026-04-10T07:21:05Z,2026-04-10T07:20:57Z,709699,master,"data-science,deep-learning,deployment,distributed,hyperparameter-optimization,hyperparameter-search,large-language-models,llm,llm-inference,llm-serving,machine-learning,optimization,parallel,python,pytorch,ray,reinforcement-learning,rllib,serving,tensorflow",False,False,,True,
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,valid,repo,,4148,777,47,645,40020,C++,Apache-2.0,2022-08-09T15:30:01Z,2026-04-10T07:34:06Z,2026-04-10T07:34:04Z,337110,main,,False,False,,True,
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,valid,repo,,8108,841,51,37,630,Python,MIT,2021-06-04T00:10:34Z,2026-04-10T06:27:41Z,2026-04-10T06:06:36Z,5635,main,"llm,machine-learning,pytorch,qlora,quantization",False,False,,True,
昇腾,38,PyTorch社区,AI框架,https://github.com/pytorch,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,valid,repo,,194622,75262,7391,4302,70871,C++,Apache-2.0,2015-11-07T01:19:20Z,2026-04-10T07:42:03Z,2026-04-10T07:41:52Z,1302069,master,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",False,False,,True,
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,valid,repo,,18890,2746,200,1073,7662,MLIR,MIT,2014-08-30T17:07:16Z,2026-04-10T06:33:42Z,2026-04-10T07:39:31Z,658378,main,,False,False,,True,
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,valid,repo,,137035,21437,780,917,12922,TypeScript,NOASSERTION,2023-04-12T07:40:24Z,2026-04-10T07:40:13Z,2026-04-10T07:43:45Z,338270,main,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",False,False,,True,
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,valid,repo,,20467,2960,120,489,494,TypeScript,Apache-2.0,2025-06-26T02:19:21Z,2026-04-10T07:43:58Z,2026-04-09T11:54:26Z,75346,main,"agent,agent-platform,ai-plugins,chatbot,chatbot-framework,coze,coze-platform,generative-ai,go,kouzi,low-code-ai,multimodel-ai,no-code,rag,studio,typescript,workflow",False,False,,True,
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,valid,repo,,1409,198,0,29,12,Python,Apache-2.0,2025-10-21T14:02:08Z,2026-04-10T04:00:06Z,2026-03-31T07:06:09Z,47046,main,"generative-ai,generative-recommendation,generative-recommenders,large-language-model,large-language-models,llm,recommendation,recommendation-system,recommender-system,scaling-laws",False,False,,True,
昇腾,44,MTGR,应用加速,https://github.com/meituan,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,45,X402,应用加速,https://github.com/coinbase/x402,valid,repo,,42,26,0,31,43,TypeScript,Apache-2.0,2026-04-02T16:51:03Z,2026-04-09T07:43:08Z,2026-04-10T02:53:18Z,278474,main,,True,False,,False,
