页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type
鲲鹏,209,Swagger UI,基础库&加速库,https://github.com/swagger-api/swagger-ui,,repo
鲲鹏,210,TinyXML,基础库&加速库,https://github.com/leethomason/tinyxml2,,repo
鲲鹏,211,Tornado,基础库&加速库,https://github.com/tornadoweb/tornado,,repo
鲲鹏,212,Vue,基础库&加速库,https://github.com/vuejs/vue,,repo
鲲鹏,213,canal,基础库&加速库,https://github.com/alibaba/canal,,repo
鲲鹏,214,curl,基础库&加速库,https://github.com/curl/curl,,repo
鲲鹏,215,Grafana,基础库&加速库,https://github.com/grafana/grafana,,repo
鲲鹏,216,Guacamole,基础库&加速库,https://github.com/apache/guacamole-server,,repo
鲲鹏,217,log4cpp,基础库&加速库,https://github.com/orocos-toolchain/log4cpp,,repo
鲲鹏,218,LZO,基础库&加速库,http://www.oberhumer.com/opensource/lzo/,,unknown
鲲鹏,219,PaceMaker,基础库&加速库,https://github.com/ClusterLabs/pacemaker,,repo
鲲鹏,220,pigz,基础库&加速库,https://github.com/madler/pigz,,repo
鲲鹏,221,Quartz,基础库&加速库,https://github.com/quartz-scheduler/quartz,,repo
鲲鹏,222,Sphinx,基础库&加速库,https://github.com/sphinx-doc/sphinx,,repo
鲲鹏,223,Telegraf,基础库&加速库,https://github.com/influxdata/telegraf,,repo
鲲鹏,224,Tesseract,基础库&加速库,https://github.com/tesseract-ocr/tesseract,,repo
鲲鹏,225,ZeroMQ,基础库&加速库,https://github.com/zeromq/libzmq,,repo
鲲鹏,226,grpc,基础库&加速库,https://github.com/grpc/grpc,,repo
鲲鹏,227,consul,基础库&加速库,https://github.com/hashicorp/consul,,repo
鲲鹏,228,Kong,基础库&加速库,https://github.com/Kong/kong,,repo
鲲鹏,229,PyTorch,搜广推,https://github.com/pytorch/pytorch,,repo
鲲鹏,230,Tensorflow,搜广推,https://github.com/tensorflow/tensorflow,,repo
鲲鹏,231,PaddlePaddle,搜广推,https://github.com/PaddlePaddle/Paddle,,repo
鲲鹏,232,caffe,搜广推,https://github.com/BVLC/caffe,,repo
鲲鹏,233,horovod,搜广推,https://github.com/horovod/horovod,,repo
鲲鹏,234,Fio,基础库&加速库,https://github.com/axboe/fio,,repo
鲲鹏,235,iperf,基础库&加速库,https://github.com/esnet/iperf,,repo
鲲鹏,236,Netperf,基础库&加速库,https://github.com/HewlettPackard/netperf,,repo
鲲鹏,237,sysbench,基础库&加速库,https://github.com/akopytov/sysbench,,repo
鲲鹏,238,UnixBench,基础库&加速库,https://github.com/kdlucas/byte-unixbench,,repo
鲲鹏,239,WebBench,基础库&加速库,https://github.com/EZLippi/WebBench,,repo
鲲鹏,240,siege,基础库&加速库,https://github.com/JoeDog/siege,,repo
鲲鹏,241,Wrk,基础库&加速库,https://github.com/wg/wrk,,repo
鲲鹏,242,Bioconda,HPC,https://github.com/bioconda/,,organization
鲲鹏,243,Bioconductor,HPC,https://github.com/bioconductor,,organization
鲲鹏,244,BWA,HPC,https://github.com/lh3/bwa,,repo
鲲鹏,245,GATK,HPC,https://github.com/broadinstitute/gatk,,repo
鲲鹏,246,Relion,HPC,https://github.com/3dem/relion,,repo
鲲鹏,247,AlphaFold2,HPC,https://github.com/google-deepmind/alphafold,,repo
鲲鹏,248,HMMER,HPC,https://github.com/EddyRivasLab/hmmer,,repo
鲲鹏,249,OpenHPC,HPC,https://github.com/openhpc/ohpc,,repo
鲲鹏,250,Lammps,HPC,https://github.com/lammps/lammps,,repo
鲲鹏,251,VASP,HPC,https://www.vasp.at/,,unknown
鲲鹏,252,CP2K,HPC,https://github.com/cp2k/cp2k,,repo
鲲鹏,253,QuantumEspresso,HPC,https://gitlab.com/QEF/q-e,,repo
鲲鹏,254,GROMACS,HPC,https://gitlab.com/gromacs/gromacs,,repo
鲲鹏,255,Nwchem,HPC,https://github.com/nwchemgit/nwchem,,repo
